Datum;Titel;Id-Nr;Mitzeichnungen;Forum;Begründung;Seite;Forumauswertung
16.02.2010;Industrie - und Handelskammern - Freibetragsgrenze für Zwangsbeiträge;512;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_09/_10/Petition_512.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_09/_10/Petition_512.nc.html;
13.02.2012;Datenschutz - Auskünfte nach dem Informationsfreiheitsgesetz innerhalb einer Behörde;525;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_09/_20/Petition_525.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_09/_20/Petition_525.nc.html;
07.06.2010;Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR - Verlagerung der Potsdamer Außenstelle;527;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_10/_04/Petition_527.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_10/_04/Petition_527.nc.html;
27.12.2010;Krankengeld - Nettoeinkommen;535;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_10/_08/Petition_535.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_10/_08/Petition_535.nc.html;
18.06.2015;Visaangelegenheiten - Vergabeverfahren;540;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_10/_08/Petition_540.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_10/_08/Petition_540.nc.html;
18.03.2010;Preisrecht - Honorarordnung fürArchitekten und Ingenieure;541;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_10/_25/Petition_541.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_10/_25/Petition_541.nc.html;
16.02.2010;Sozialrecht - Regelsatz für Grundsicherung;545;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_11/_05/Petition_545.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_11/_05/Petition_545.nc.html;
15.10.2009;Immissionsschutz - Lichtverschmutzung;546;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_10/_18/Petition_546.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_10/_18/Petition_546.nc.html;
12.11.2010;Mineralölsteuer - Entlastungen für Autofahrer;547;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_11/_09/Petition_547.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_11/_09/Petition_547.nc.html;
04.11.2011;Energiewirtschaft - Kohlekraftwerke;552;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_11/_12/Petition_552.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_11/_12/Petition_552.nc.html;
